"GEO_ID","NAICS2017","YEAR","NAICS2017_F","GEO_ID_F","NAICS2017_LABEL","NAME","EMP","EMP_IMP","ESTAB","FIRM","PAYANN","PAYANN_IMP","PAYQTR1","RCPTOT","RCPTOT_IMP"
"id","2017 NAICS code","Year","2017 NAICS Footnote","Geo Footnote","Meaning of NAICS code","Geographic Area Name","Number of paid employees for pay period including March 12","Range indicating percent of total employees imputed","Number of establishments","Number of firms","Annual payroll ($1,000)","Range indicating percent of total annual payroll imputed","First-quarter payroll ($1,000)","Value of sales, shipments, receipts, revenue, or business done ($1,000)","Range indicating percent of total sales, value of shipments, or revenue imputed"
"0100000US","445220","2017","null","null","Fish and seafood markets","United States","11899","N","1967","1930","276249","N","63814","2372353","N"
"0100000US","44523","2017","null","null","Fruit and vegetable markets","United States","22593","N","2730","2643","498960","N","113123","4530812","N"
"0100000US","445230","2017","null","null","Fruit and vegetable markets","United States","22593","N","2730","2643","498960","N","113123","4530812","N"
"0100000US","44529","2017","null","null","Other specialty food stores","United States","90011","N","12399","9092","1436994","N","349074","7645694","N"
"0100000US","445291","2017","null","null","Baked goods stores","United States","19680","N","2771","2302","366274","N","89648","1762173","N"
"0100000US","445292","2017","null","null","Confectionery and nut stores","United States","23669","N","3429","2096","371001","N","88713","2080347","N"
"0100000US","445299","2017","null","null","All other specialty food stores","United States","46662","N","6199","4700","699719","N","170713","3803174","N"
"0100000US","4453","2017","null","null","Beer, wine, and liquor stores","United States","174307","N","34477","30346","3731349","N","888037","51216834","N"
"0100000US","44531","2017","null","null","Beer, wine, and liquor stores","United States","174307","N","34477","30346","3731349","N","888037","51216834","N"
"0100000US","445310","2017","null","null","Beer, wine, and liquor stores","United States","174307","N","34477","30346","3731349","N","888037","51216834","N"
"0100000US","446","2017","null","null","Health and personal care stores","United States","1044317","N","95072","42891","33769518","N","8477698","319453253","N"
"0100000US","4461","2017","null","null","Health and personal care stores","United States","1044317","N","95072","42891","33769518","N","8477698","319453253","N"
"0100000US","44611","2017","null","null","Pharmacies and drug stores","United States","691880","N","45464","19314","24886121","N","6288205","267749566","N"
"0100000US","446110","2017","null","null","Pharmacies and drug stores","United States","691880","N","45464","19314","24886121","N","6288205","267749566","N"
